t rx ry x1 y1 x2 y2 x3 y3 x4 y4 err lam2 lmin lmax
21.60000 15.60000 6.00000 15.59731 6.00476 13.59623 6.00668 13.59623 4.00668 15.59623 4.00668 0.00156 4.00000 1.99808 2.82843
21.80000 15.80000 6.00000 15.79746 6.00449 13.79644 6.00630 13.79644 4.00630 15.79644 4.00630 0.00147 4.00000 1.99819 2.82843
22.00000 16.00000 6.00000 15.99761 6.00424 13.99664 6.00595 13.99664 4.00595 15.99664 4.00595 0.00139 4.00000 1.99829 2.82843
22.20000 16.00000 6.00000 16.01388 6.00400 14.01649 6.00562 14.01649 4.00562 16.01649 4.00562 0.00217 4.00000 1.99739 2.82843
22.40000 16.00000 6.00000 16.01199 6.00378 14.01583 6.00530 14.01583 4.00530 16.01583 4.00530 0.00293 4.00000 1.99616 2.82843
22.60000 16.00000 6.00000 16.01094 6.00356 14.01503 6.00500 14.01503 4.00500 16.01503 4.00500 0.00307 4.00000 1.99591 2.82843
22.80000 16.00000 6.00000 16.01020 6.00336 14.01422 6.00472 14.01422 4.00472 16.01422 4.00472 0.00300 4.00000 1.99599 2.82843
23.00000 16.00000 6.00000 16.00959 6.00317 14.01343 6.00446 14.01343 4.00446 16.01343 4.00446 0.00286 4.00000 1.99616 2.82843
23.20000 16.00000 6.00000 16.00904 6.00300 14.01268 6.00421 14.01268 4.00421 16.01268 4.00421 0.00271 4.00000 1.99636 2.82843
23.40000 16.00000 6.00000 16.00853 6.00283 14.01197 6.00397 14.01197 4.00397 16.01197 4.00397 0.00256 4.00000 1.99656 2.82843
23.60000 16.00000 6.00000 16.00805 6.00267 14.01130 6.00375 14.01130 4.00375 16.01130 4.00375 0.00242 4.00000 1.99675 2.82843
23.80000 16.00000 6.00000 16.00760 6.00252 14.01067 6.00354 14.01067 4.00354 16.01067 4.00354 0.00229 4.00000 1.99693 2.82843
24.00000 16.00000 6.00000 16.00717 6.00238 14.01007 6.00334 14.01007 4.00334 16.01007 4.00334 0.00216 4.00000 1.99710 2.82843
