x y U
5.4000 2.9714 4.2757
5.6571 2.9714 3.4259
5.9143 2.9714 2.7662
6.1714 2.9714 2.2235
6.4286 2.9714 1.7698
6.6857 2.9714 1.3932
6.9429 2.9714 1.0878
7.2000 2.9714 0.8490
7.4571 2.9714 0.6763
7.7143 2.9714 0.5698
7.9714 2.9714 0.5294
8.2286 2.9714 0.5551
8.4857 2.9714 0.6469
8.7429 2.9714 0.8049
9.0000 2.9714 1.0290

0.0000 3.2000 32.3200
0.2571 3.2000 30.2959
0.5143 3.2000 28.3380
0.7714 3.2000 26.4461
1.0286 3.2000 24.6204
1.2857 3.2000 22.8619
1.5429 3.2000 21.1760
1.8000 3.2000 19.5702
2.0571 3.2000 18.0621
2.3143 3.2000 16.6981
2.5714 3.2000 15.6262
2.8286 3.2000 15.4765
3.0857 3.2000 21.0225
3.3429 3.2000 40.0000
3.6000 3.2000 40.0000
3.8571 3.2000 40.0000
4.1143 3.2000 40.0000
4.3714 3.2000 40.0000
4.6286 3.2000 40.0000
4.8857 3.2000 16.0618
5.1429 3.2000 6.4650
5.4000 3.2000 4.3416
5.6571 3.2000 3.3027
5.9143 3.2000 2.5878
6.1714 3.2000 2.0259
6.4286 3.2000 1.5648
6.6857 3.2000 1.1852
6.9429 3.2000 0.8788
7.2000 3.2000 0.6400
7.4571 3.2000 0.4673
7.7143 3.2000 0.3608
7.9714 3.2000 0.3204
8.2286 3.2000 0.3461
8.4857 3.2000 0.4380
8.7429 3.2000 0.5959
9.0000 3.2000 0.8200

0.0000 3.4286 32.1633
0.2571 3.4286 30.1392
0.5143 3.4286 28.1812
0.7714 3.4286 26.2894
1.0286 3.4286 24.4637
1.2857 3.4286 22.7061
1.5429 3.4286 21.0229
1.8000 3.4286 19.4240
2.0571 3.4286 17.9351
2.3143 3.4286 16.6328
2.5714 3.4286 15.8181
2.8286 3.4286 17.4447
3.0857 3.4286 40.0000
3.3429 3.4286 40.0000
3.6000 3.4286 40.0000
3.8571 3.4286 40.0000
4.1143 3.4286 40.0000
4.3714 3.4286 40.0000
4.6286 3.4286 40.0000
4.8857 3.4286 40.0000
5.1429 3.4286 9.0509
5.4000 3.4286 4.5983
5.6571 3.4286 3.2507
5.9143 3.4286 2.4645
6.1714 3.4286 1.8810
6.4286 3.4286 1.4122
6.6857 3.4286 1.0296
6.9429 3.4286 0.7220
7.2000 3.4286 0.4833
7.4571 3.4286 0.3106
7.7143 3.4286 0.2041
7.9714 3.4286 0.1637
8.2286 3.4286 0.1894
8.4857 3.4286 0.2812
8.7429 3.4286 0.4392
9.0000 3.4286 0.6633

0.0000 3.6571 32.0588
0.2571 3.6571 30.0347
0.5143 3.6571 28.0767
0.7714 3.6571 26.1849
1.0286 3.6571 24.3592
1.2857 3.6571 22.6025
1.5429 3.6571 20.9215
1.8000 3.6571 19.3285
2.0571 3.6571 17.8569
2.3143 3.6571 16.6171
2.5714 3.6571 16.1245
2.8286 3.6571 21.5659
3.0857 3.6571 40.0000
3.3429 3.6571 40.0000
3.6000 3.6571 40.0000
3.8571 3.6571 40.0000
4.1143 3.6571 40.0000
4.3714 3.6571 40.0000
4.6286 3.6571 40.0000
4.8857 3.6571 40.0000
5.1429 3.6571 15.0756
5.4000 3.6571 4.9976
5.6571 3.6571 3.2494
5.9143 3.6571 2.3898
6.1714 3.6571 1.7866
6.4286 3.6571 1.3112
6.6857 3.6571 0.9261
6.9429 3.6571 0.6176
7.2000 3.6571 0.3788
7.4571 3.6571 0.2061
7.7143 3.6571 0.0996
7.9714 3.6571 0.0592
8.2286 3.6571 0.0849
8.4857 3.6571 0.1767
8.7429 3.6571 0.3347
9.0000 3.6571 0.5588

0.0000 3.8857 32.0065
0.2571 3.8857 29.9824
0.5143 3.8857 28.0245
0.7714 3.8857 26.1327
1.0286 3.8857 24.3070
1.2857 3.8857 22.5508
1.5429 3.8857 20.8710
1.8000 3.8857 19.2814
2.0571 3.8857 17.8203
2.3143 3.8857 16.6216
2.5714 3.8857 16.3770
2.8286 3.8857 26.6398
3.0857 3.8857 40.0000
3.3429 3.8857 40.0000
3.6000 3.8857 40.0000
3.8571 3.8857 40.0000
4.1143 3.8857 40.0000
4.3714 3.8857 40.0000
4.6286 3.8857 40.0000
4.8857 3.8857 40.0000
5.1429 3.8857 23.5034
5.4000 3.8857 5.3294
5.6571 3.8857 3.2638
5.9143 3.8857 2.3555
6.1714 3.8857 1.7401
6.4286 3.8857 1.2610
6.6857 3.8857 0.8745
6.9429 3.8857 0.5654
7.2000 3.8857 0.3265
7.4571 3.8857 0.1539
7.7143 3.8857 0.0473
7.9714 3.8857 0.0069
8.2286 3.8857 0.0327
8.4857 3.8857 0.1245
8.7429 3.8857 0.2824
9.0000 3.8857 0.5065

0.0000 4.1143 32.0065
0.2571 4.1143 29.9824
0.5143 4.1143 28.0245
0.7714 4.1143 26.1327
1.0286 4.1143 24.3070
1.2857 4.1143 22.5508
1.5429 4.1143 20.8710
1.8000 4.1143 19.2814
2.0571 4.1143 17.8203
