t a1 a2 a3 a4 a5 a6 b1 b2 b3 b4 b5 b6 disa disb bnda bndb
4.05000 7.15597 7.07306 6.97026 6.91651 6.92691 6.95729 7.00433 7.00236 7.00112 6.99886 6.99762 6.99572 0.21139 0.00714 3.34441 0.08107
4.10000 7.15191 7.07207 6.97265 6.91964 6.92790 6.95583 7.00408 7.00223 7.00105 6.99893 6.99775 6.99596 0.20646 0.00672 3.29990 0.07640
4.15000 7.14799 7.07110 6.97490 6.92264 6.92888 6.95449 7.00384 7.00210 7.00099 6.99899 6.99788 6.99619 0.20174 0.00634 3.25598 0.07200
4.20000 7.14421 7.07014 6.97704 6.92550 6.92984 6.95327 7.00362 7.00198 7.00094 6.99905 6.99801 6.99641 0.19724 0.00597 3.21265 0.06786
4.25000 7.14058 7.06920 6.97906 6.92823 6.93079 6.95215 7.00341 7.00187 7.00088 6.99910 6.99812 6.99662 0.19293 0.00563 3.16990 0.06395
4.30000 7.13707 7.06827 6.98097 6.93084 6.93172 6.95113 7.00321 7.00176 7.00083 6.99915 6.99823 6.99681 0.18880 0.00530 3.12771 0.06026
4.35000 7.13370 7.06735 6.98278 6.93333 6.93264 6.95020 7.00303 7.00166 7.00079 6.99920 6.99833 6.99699 0.18485 0.00500 3.08609 0.05679
4.40000 7.13044 7.06645 6.98449 6.93571 6.93355 6.94937 7.00285 7.00156 7.00074 6.99925 6.99843 6.99717 0.18106 0.00471 3.04502 0.05352
4.45000 7.12730 7.06555 6.98610 6.93799 6.93444 6.94862 7.00269 7.00147 7.00070 6.99929 6.99852 6.99733 0.17742 0.00444 3.00450 0.05044
4.50000 7.12426 7.06467 6.98762 6.94017 6.93532 6.94795 7.00253 7.00139 7.00066 6.99933 6.99861 6.99748 0.17392 0.00418 2.96451 0.04754
4.55000 7.12133 7.06381 6.98906 6.94225 6.93619 6.94735 7.00238 7.00131 7.00062 6.99937 6.99869 6.99763 0.17056 0.00394 2.92506 0.04480
4.60000 7.11851 7.06295 6.99042 6.94425 6.93704 6.94683 7.00225 7.00123 7.00059 6.99941 6.99876 6.99776 0.16733 0.00372 2.88613 0.04222
4.65000 7.11578 7.06211 6.99170 6.94615 6.93789 6.94637 7.00212 7.00116 7.00055 6.99944 6.99883 6.99789 0.16421 0.00350 2.84772 0.03979
4.70000 7.11314 7.06128 6.99291 6.94798 6.93872 6.94598 7.00199 7.00110 7.00052 6.99948 6.99890 6.99801 0.16120 0.00330 2.80983 0.03749
4.75000 7.11059 7.06046 6.99404 6.94972 6.93954 6.94565 7.00188 7.00103 7.00049 6.99951 6.99896 6.99813 0.15830 0.00311 2.77243 0.03533
4.80000 7.10813 7.05965 6.99512 6.95139 6.94035 6.94537 7.00177 7.00097 7.00046 6.99953 6.99902 6.99823 0.15550 0.00293 2.73554 0.03330
4.85000 7.10574 7.05885 6.99613 6.95299 6.94115 6.94514 7.00167 7.00092 7.00044 6.99956 6.99908 6.99834 0.15278 0.00276 2.69913 0.03138
4.90000 7.10344 7.05807 6.99708 6.95452 6.94193 6.94497 7.00157 7.00087 7.00041 6.99959 6.99913 6.99843 0.15016 0.00260 2.66321 0.02957
4.95000 7.10120 7.05729 6.99797 6.95599 6.94271 6.94484 7.00148 7.00082 7.00039 6.99961 6.99918 6.99852 0.14762 0.00245 2.62777 0.02787
5.00000 7.09904 7.05653 6.99881 6.95739 6.94347 6.94475 7.00140 7.00077 7.00037 6.99963 6.99923 6.99861 0.14515 0.00231 2.59280 0.02627
5.05000 7.09695 7.05577 6.99960 6.95874 6.94423 6.94471 7.00132 7.00072 7.00034 6.99965 6.99927 6.99869 0.14276 0.00218 2.55829 0.02475
