t tx ty tvx tvy zx zy ex ey evx evy fdvx fdvy sx sy errz errkf
5.9000 9.9385 12.1550 1.3456 2.6847 9.7229 12.7235 9.5296 12.5731 1.4483 2.9413 8.1666 8.1015 0.3935 0.2300 0.6080 0.5848
6.0000 10.0766 12.4245 1.3778 2.7244 10.9022 12.5652 9.8645 12.8033 1.6079 2.8654 11.7935 -1.5831 0.3935 0.2300 0.8375 0.4341
6.1000 10.2303 12.6930 1.5756 2.6645 8.2359 12.5312 9.7483 12.9716 1.3752 2.7251 -26.6634 -0.3396 0.3935 0.2300 2.0010 0.5568
6.2000 10.3719 12.9555 1.3331 2.7079 10.7114 12.5616 10.0136 13.0996 1.4826 2.5537 24.7551 0.3035 0.3935 0.2300 0.5200 0.3863
6.3000 10.4973 13.2201 1.1557 2.7202 9.4417 12.5519 10.0504 13.1850 1.3889 2.3520 -12.6969 -0.0965 0.3935 0.2300 1.2493 0.4483
6.4000 10.6065 13.4919 1.0062 2.6966 10.1121 13.2159 10.1773 13.3770 1.3789 2.3007 6.7044 6.6398 0.3935 0.2300 0.5662 0.4443
6.5000 10.7019 13.7678 0.8490 2.9025 12.1815 13.8373 10.6041 13.6558 1.6216 2.3585 20.6934 6.2137 0.3935 0.2300 1.4812 0.1487
6.6000 10.7884 14.0647 0.8052 3.0129 10.1826 14.2616 10.6759 13.9699 1.5457 2.4514 -19.9884 4.2432 0.3935 0.2300 0.6370 0.1471
6.7000 10.8770 14.3714 0.9705 2.9502 11.5427 14.2390 10.9408 14.2201 1.6383 2.4574 13.6003 -0.2262 0.3935 0.2300 0.6787 0.1641
6.8000 10.9806 14.6793 1.1941 3.1444 11.6399 13.9929 11.1875 14.3658 1.7079 2.3387 0.9728 -2.4607 0.3935 0.2300 0.9518 0.3756
6.9000 11.1041 14.9906 1.2809 3.0465 10.5438 15.3020 11.2322 14.7483 1.6020 2.5151 -10.9609 13.0912 0.3935 0.2300 0.6410 0.2741
7.0000 11.2365 15.2891 1.4099 3.1224 11.4627 15.8851 11.4033 15.1872 1.6111 2.7374 9.1880 5.8309 0.3934 0.2300 0.6375 0.1955
7.1000 11.3740 15.5951 1.2897 2.9336 11.4201 16.2201 11.5420 15.6216 1.5924 2.9280 -0.4252 3.3503 0.3934 0.2300 0.6267 0.1701
7.2000 11.5247 15.8829 1.5449 2.8709 13.1177 15.6303 11.9205 15.8543 1.7766 2.8567 16.9762 -5.8981 0.3934 0.2300 1.6129 0.3969
7.3000 11.6998 16.1875 1.8284 3.1236 13.2803 17.0821 12.2812 16.3394 1.9302 3.0933 1.6259 14.5178 0.3934 0.2300 1.8161 0.6009
7.4000 11.8764 16.4932 1.7741 2.9687 9.9363 17.2497 12.0814 16.7759 1.6003 3.2442 -33.4403 1.6758 0.3934 0.2300 2.0824 0.3492
