x y
-1.5000 -2.5981
-1.4000 -2.4249
-1.3000 -2.2517
-1.2000 -2.0785
-1.1000 -1.9053
-1.0000 -1.7321
-0.9000 -1.5588
-0.8000 -1.3856
-0.7000 -1.2124
-0.6000 -1.0392
-0.5231 -0.9060
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5222 -0.9046
-0.5223 -0.9046
-0.5223 -0.9046
-0.5225 -0.9050
-0.5236 -0.9070
-0.5295 -0.9172
-0.5581 -0.9667
-0.6233 -1.0796
-0.6448 -1.1168
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6452 -1.1175
-0.6453 -1.1175
-0.6453 -1.1175
-0.6454 -1.1174
-0.6455 -1.1173
-0.6458 -1.1172
-0.6462 -1.1170
-0.6469 -1.1165
-0.6481 -1.1158
-0.6502 -1.1146
-0.6539 -1.1125
-0.6601 -1.1088
-0.6709 -1.1023
-0.6894 -1.0909
-0.7208 -1.0706
-0.7738 -1.0337
-0.8606 -0.9648
-0.9903 -0.8383
-1.1145 -0.6818
-1.2174 -0.5105
-1.2976 -0.3274
-1.3544 -0.1358
-1.3875 0.0613
-1.3971 0.2610
-1.3837 0.4604
-1.3479 0.6571
-1.2902 0.8485
-1.2111 1.0321
-1.1112 1.2052
-0.9908 1.3648
-0.8507 1.5073
-0.6930 1.6300
-0.5226 1.7346
-0.3447 1.8260
-0.1627 1.9088
0.0214 1.9869
0.2063 2.0632
0.3912 2.1393
0.5761 2.2158
0.7451 2.2857
0.8832 2.3428
0.9960 2.3895
1.0882 2.4277
1.1635 2.4589
1.2251 2.4843
1.2754 2.5051
1.3165 2.5221
1.3500 2.5360
1.3775 2.5474
1.3999 2.5566
1.4182 2.5642
1.4332 2.5704
1.4454 2.5755
1.4554 2.5796
1.4635 2.5830
1.4702 2.5857
1.4757 2.5880
1.4801 2.5898
1.4837 2.5914
1.4867 2.5926
1.4892 2.5936
1.4911 2.5944
1.4928 2.5951
1.4941 2.5956
1.4952 2.5961
1.4960 2.5964
1.4968 2.5967
1.4974 2.5970
1.4978 2.5972
1.4982 2.5973
1.4986 2.5975
1.4988 2.5976
1.4990 2.5977
1.4992 2.5978
1.4994 2.5978
1.4995 2.5979
1.4996 2.5979
1.4997 2.5979
1.4997 2.5980
1.4998 2.5980
1.4998 2.5980
1.4998 2.5980
1.4999 2.5980
1.4999 2.5980
1.4999 2.5980
1.4999 2.5980
1.4999 2.5981
