# raw rows of the Chapter 25 mini-study; generated by code/figures/gen_ch25_study.py from code/ch25_evaluation.py; cells (2,0) (2,1) (4,0) (4,1), seeds 0-19, strategies none/local/replan/hybrid, prediction=noisy; add the git commit of the code to this line when you publish a study
k m seed strategy family collision n_collisions near_miss dmin_dd dmin_di path_total path_ratio travel_mean makespan soc success replans avoid_steps comp_mean_ms comp_p99_ms comp_max_ms comp_total_s deadline_misses ef_mean ef_max comm_viol steps
2 0 15 hybrid - 0 0 0 2.0992 nan 35.8901 0.9990 12.7000 13.5000 25.4000 1 0 0 0.0540 0.1267 0.1386 0.0157 0 0.0293 0.2458 0 145
2 0 16 none - 0 0 0 2.0395 nan 35.4775 0.9989 12.5500 13.3000 25.1000 1 0 0 0.0529 0.1014 0.1469 0.0151 0 0.0295 0.2458 0 143
2 0 16 local - 0 0 0 2.0395 nan 35.4775 0.9989 12.5500 13.3000 25.1000 1 0 0 0.0558 0.1183 0.1772 0.0159 0 0.0295 0.2458 0 143
2 0 16 replan - 0 0 0 2.0395 nan 35.4775 0.9989 12.5500 13.3000 25.1000 1 0 0 0.0535 0.1039 0.1639 0.0153 0 0.0295 0.2458 0 143
2 0 16 hybrid - 0 0 0 2.0395 nan 35.4775 0.9989 12.5500 13.3000 25.1000 1 0 0 0.0535 0.1016 0.1038 0.0153 0 0.0295 0.2458 0 143
2 0 17 none - 0 0 0 2.0690 nan 35.6011 0.9990 12.6000 13.4000 25.2000 1 0 0 0.0529 0.0983 0.1142 0.0152 0 0.0295 0.2458 0 144
2 0 17 local - 0 0 0 2.0690 nan 35.6011 0.9990 12.6000 13.4000 25.2000 1 0 0 0.0541 0.1011 0.1409 0.0156 0 0.0295 0.2458 0 144
2 0 17 replan - 0 0 0 2.0690 nan 35.6011 0.9990 12.6000 13.4000 25.2000 1 0 0 0.0531 0.0968 0.1249 0.0153 0 0.0295 0.2458 0 144
2 0 17 hybrid - 0 0 0 2.0690 nan 35.6011 0.9990 12.6000 13.4000 25.2000 1 0 0 0.0535 0.0981 0.1486 0.0154 0 0.0295 0.2458 0 144
2 0 18 none - 0 0 0 1.9508 nan 35.9352 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0525 0.0895 0.1112 0.0151 0 0.0291 0.2458 0 144
2 0 18 local - 0 0 0 1.9508 nan 35.9352 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0540 0.0972 0.1241 0.0155 0 0.0291 0.2458 0 144
2 0 18 replan - 0 0 0 1.9508 nan 35.9352 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0555 0.1150 0.1335 0.0160 0 0.0291 0.2458 0 144
2 0 18 hybrid - 0 0 0 1.9508 nan 35.9352 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0527 0.0877 0.1186 0.0152 0 0.0291 0.2458 0 144
